"party_name","party_number","party_symbol","party_symbol_number"
"Aam Admi Tehreek Pakistan","181","Mug","Mug (181)"
"Aam Awam Party","322","Wheat Bunch","Wheat Bunch (322)"
"Aam Log Party Pakistan","144","Hut","Hut (144)"
"All Pakistan Minority Movement Pakistan","122","Giraffe","Giraffe (122)"
"All Pakistan Muslim League","93","Eagle","Eagle (93)"
"All Pakistan Muslim League (Jinnah)","27","Bicycle","Bicycle (27)"
"All Pakistan Tehreek","30","Boat","Boat (30)"
"Allah-O-Akbar Tehreek","55","Chair","Chair (55)"
"Amun Taraqqi Party","309","Tyre","Tyre (309)"
"Awam League","143","Human Hand","Human Hand (143)"
"Awami Justice Party Pakistan","303","Tumbler","Tumbler (303)"
"Awami Muslim League Pakistan","146","Ink pot with Pen","Ink pot with Pen (146)"
"Awami National Party","162","Lantern","Lantern (162)"
"Awami Party Pakistan-S","2","Aeroplane","Aeroplane (2)"
"Awami Workers Party","40","Bulb","Bulb (40)"
"Balochistan Awami Party","70","Cow","Cow (70)"
"Balochistan National Movement","246","Sickle","Sickle (246)"
"Balochistan National Party","14","Axe","Axe (14)"
"Balochistan National Party (Awami)","49","Camel","Camel (49)"
"Barabri Party Pakistan","117","Gate","Gate (117)"
"Front National Pakistan","311","Unity","Unity (311)"
"Grand Democratic Alliance","259","Star","Star (259)"
"Hazara Democratic Party","72","Crescent","Crescent (72)"
"Humdardan-e-Watan Pakistan","61","Coat","Coat (61)"
"Islami Jamhoori Ittehad Pakistan","108","Football","Football (108)"
"Islami Tehreek Pakistan","307","Two Sword","Two Sword (307)"
"Ittehad-e-Ummat Pakistan","99","Energy Saver","Energy Saver (99)"
"Jamat-e-lslami Pakistan","232","Scale","Scale (232)"
"Jamhoori Watan Party","323","Wheel","Wheel (323)"
"Jamiat Ulama-e-lslam Nazaryati Pakistan","274","Takhti","Takhti (274)"
"Jamiat Ulama-e-lslam (F)","195","Pen","Pen (195)"
"Jamiat Ulema-e-Pakistan (Noorani)","154","Key","Key (154)"
"Jamiyat Ulma-e-lslam Pakistan (S)","161","Ladder","Ladder (161)"
"Jamote Qaumi Movement","95","Electric Pol","Electric Pole (95)"
"Jannat Pakistan Party","111","Fountain","Fountain (111)"
"Majlis Wahdat-e-Muslimeen Pakistan","282","Tent","Tent (282)"
"Markazi Jamiat Ahl-e-Hadith","252","Spectacles","Spectacles (252)"
"Mohajir Qaumi Movement (Pakistan)","50","Candle","Candle (50)"
"Move on Pakistan","189","Ostrich","Ostrich (189)"
"Muhib-e-Watan Noujawan Anqlabion Ki Anjuman (MNAKA)","52","Cap","Cap (52)"
"Mustaqbil Pakistan","64","Comb","Comb (64)"
"Mutahida Majlis-e-Amal Pakistan","31","Book","Book (31)"
"Mutahidda Ulema Mashaikh Council of Pakistan","65","Combat Aircraft","Combat Aircraft (65)"
"Mutahiddia Qabail Party","305","Turban","Turban (305)"
"Mutihida League","22","Bear","Bear (22)"
"Muttahida Qaumi Movement Pakistan","159","Kite","Kite (159)"
"National Party","230","Saw","Saw (230)"
"National Peace Council Party","267","Swallow","Swallow (267)"
"Pak Sarzameen Party","85","Dolphin","Dolphin (85)"
"Pakhtoonkhwa Milli Awami Party","295","Tree","Tree (295)"
"Pakistan Aman Party","88","Dove","Dove (88)"
"Pakistan Aman Tehreek","175","Missile","Missile (175)"
"Pakistan Awami Inqelabi League","298","Trophy","Trophy (298)"
"Pakistan Awami League","136","Hockey","Hockey (136)"
"Pakistan Awami Raj","150","Jharoo","Jharoo (150)"
"Pakistan Awami Tehreek","179","Motorcycle","Motorcycle (179)"
"Pakistan Citizen Movement","291","Tower","Tower (291)"
"Pakistan Conservative Party","289","Torch","Torch (289)"
"Pakistan Falah Party","242","Ship","Ship (242)"
"Pakistan Falahi Tehreek","168","Lotus","Lotus (168)"
"Pakistan Freedom Movement","78","Date Tree","Date Tree (78)"
"Pakistan Human Party","265","Sun","Sun (265)"
"Pakistan Human Rights Party","310","Umbrella","Umbrella (310)"
"Pakistan Islamic Republican Party","16","Badge","Badge (16)"
"Pakistan Justice and Democratic Party","118","Gavel","Gavel (118)"
"Pakistan Kissan Ittehad (Ch. Anwar)","206","Plough","Plough (206)"
"Pakistan Muslim Alliance","104","Fish","Fish (104)"
"Pakistan Muslim League","292","Tractor","Tractor (292)"
"Pakistan Muslim League (Council)","174-A","Minar-e- Pakistan","Minar-e-Pakistan (174-A)"
"Pakistan Muslim League (Functional)","226","Rose","Rose (226)"
"Pakistan Muslim League (Junejo)","43","Bus","Bus (43)"
"Pakistan Muslim League (N)","284","Tiger","Tiger (284)"
"Pakistan Muslim League (Zia-ul-Haq Shaheed)","134","Helicopter","Helicopter (134)"
"Pakistan Muslim League Organization","257","Stag","Stag (257)"
"Pakistan Muslim League sher-e-bangal a.k. Fazal-UI-Haque","219","Rickshaw","Rickshaw (219)"
"Pakistan National Muslim League","141","Hukkah","Hukkah (141)"
"Pakistan Peoples Party","270","Sword","Sword (270)"
"Pakistan Peoples Party (Shaheed Bhutto)","105","Fist","Fist (105)"
"Pakistan Peoples Party Parliamentarians","12","Arrow","Arrow (12)"
"Pakistan Peoples Party Workers","312","Victory Sign","Victory Sign (312)"
"Pakistan Quami Yakjehti Party","194","Peacock","Peacock (194)"
"Pakistan Reh-e- Haq Party","147","Iron","Iron (147)"
"Pakistan Siraiki Party (T)","250","Spade","Spade (250)"
"Pakistan Sunni Tehreek","272","Table Lamp","Table Lamp (272)"
"Pakistan Supreme Democratic","82","Diamod","Diamond (82)"
"Pakistan Tehreek-e-lnsaf","19","Bat","Bat (19)"
"Pakistan Tehreek-e-lnsaf (Nazriati)","20","Batsman","Batsman (20)"
"Pakistan Tehreek-e-lnsaf-Gulalai","214","Racket","Racket (214)"
"Pakistan Tehreek-e-lnsaniat","234","Scissors","Scissors (234)"
"Pakistan Welfare Party","186","Olympic Torch","Olympic Torch (186)"
"Pakistan Yaqeen Party","9","Alphabet ""P""","Alphabet ""P"" (9)"
"Pasban Pakistan","17","Balloons","Balloons (17)"
"Peoples Movement of Pakistan","225","Rope","Rope (225)"
"Peoples Muslim League (Pakistan)","76","Cup & Saucer","Cup & Saucer (76)"
"Qaumi Watan Party","58","Chiragh (Oil Lamp)","Chiragh (Oil Lamp) (58)"
"Roshan Pakistan League","290","Tortoise","Tortoise (290)"
"Saraikistan Democratic Party","80","Deer","Deer (80)"
"Sindh United Party","53","Car","Car (53)"
"Sunni Ittehad Council","137","Horse","Horse (137)"
"Sunni Tehreek","60","Clock","Clock (60)"
"Tabdeeli Pasand Party (Pakistan)","75","Crown","Crown (75)"
"Tehreek Labbaik Pakistan","71","Crane","Crane (71)"
"Tehreek Tabdili Nizam Pakistan","97","Elephant","Elephant (97)"
"Tehreek-e-Difa-e-Pakistan","33","Bow","Bow (33)"
"Tehreek-e-Labbaik Islam","51","Cannon","Cannon (51)"
"Tehreek-e-Suba Hazara Pakistan","300","Truck","Truck (300)"
"Tehrik Jawanan Pakistan","163","Laptop","Laptop (163)"
"Independent","1","Aabshar (Water Fall)","Aabshar (Water Fall) (1)"
"Independent","3","Air Conditioner","Air Conditioner (3)"
"Independent","4","Air Cooler","Air Cooler (4)"
"Independent","5","Alphabet 'A'","Alphabet 'A' (5)"
"Independent","6","Alphabet 'B'","Alphabet 'B' (6)"
"Independent","7","Alphabet 'G'","Alphabet 'G' (7)"
"Independent","8","Alphabet 'K'","Alphabet 'K' (8)"
"Independent","10","Alphabet 'S'","Alphabet 'S' (10)"
"Independent","11","Apple","Apple (11)"
"Independent","13","Audio Cassette","Audio Cassette (13)"
"Independent","15","Baby Cot","Baby Cot (15)"
"Independent","18","Basket","Basket (18)"
"Independent","21","Battery","Battery (21)"
"Independent","23","Bed","Bed (23)"
"Independent","24","Bee","Bee (24)"
"Independent","25","Bell","Bell (25)"
"Independent","26","Bench","Bench (26)"
"Independent","28","Binoculars","Binoculars (28)"
"Independent","29","Black Board","Black Board (29)"
"Independent","32","Bottle","Bottle (32)"
"Independent","34","Bowl","Bowl (34)"
"Independent","35","Brick","Brick (35)"
"Independent","36","Bridge","Bridge (36)"
"Independent","37","Brinjal","Brinjal (37)"
"Independent","38","Brush","Brush (38)"
"Independent","39","Bucket","Bucket (39)"
"Independent","41","Bullock Cart","Bullock Cart (41)"
"Independent","42","Bunch of Grapes","Bunch of Grapes (42)"
"Independent","44","Butterfly","Butterfly (44)"
"Independent","45","Cage","Cage (45)"
"Independent","46","Cake","Cake (46)"
"Independent","47","Calculator","Calculator (47)"
"Independent","48","Calendar","Calendar (48)"
"Independent","54","Carrom Board","Carrom Board (54)"
"Independent","56","Charpai","Charpai (56)"
"Independent","57","Chimney","Chimney (57)"
"Independent","59","Chitrali Cap","Chitrali Cap (59)"
"Independent","62","Coconut","Coconut (62)"
"Independent","63","Coins","Coins (63)"
"Independent","66","Combat Tank","Combat Tank (66)"
"Independent","67","Computer","Computer (67)"
"Independent",NA,"Cooking Pot 68","Cooking Pot 68 ()"
"Independent","69","Corn","Corn (69)"
"Independent","73","Cricket Stumps","Cricket Stumps (73)"
"Independent","74","Crocodile","Crocodile (74)"
"Independent","77","Curtain","Curtain (77)"
"Independent","79","Deep Freezer","Deep Freezer (79)"
"Independent","81","Dhol","Dhol (81)"
"Independent","83","Dice","Dice (83)"
"Independent","84","Dish Antenna","Dish Antenna (84)"
"Independent","86","Donkey Cart","Donkey Cart (86)"
"Independent","87","Door","Door (87)"
