"party_name","party_number","party_symbol","party_symbol_number"
"Independent","89","Dressing Table","Dressing Table (89)"
"Independent","90","Drill Machine","Drill Machine (90)"
"Independent","91","Drum","Drum (91)"
"Independent","92","Duck","Duck (92)"
"Independent","96","Electric Heater","Electric Heater (96)"
"Independent","96","Electric Water Pump","Electric Water Pump (96)"
"Independent","98","Emergency Light","Emergency Light (98)"
"Independent","100","Excavator","Excavator (100)"
"Independent","101","Fan","Fan (101)"
"Independent","102","Feather","Feather (102)"
"Independent","103","Fire Engine","Fire Engine (103)"
"Independent","106","Flamingo","Flamingo (106)"
"Independent","107","Flower Pot","Flower Pot (107)"
"Independent","109","Fork","Fork (109)"
"Independent","110","Fort","Fort (110)"
"Independent","112","Frame","Frame (112)"
"Independent","113","Fridge","Fridge (113)"
"Independent","114","Frying Pan","Frying Pan (114)"
"Independent","115","Garland","Garland (115)"
"Independent","116","Gas Cylinder","Gas Cylinder (116)"
"Independent","119","Generator","Generator (119)"
"Independent","120","Geyser","Geyser (120)"
"Independent","121","Ghulail","Ghulail (121)"
"Independent","123","Goat","Goat (123)"
"Independent","124","Gramophone","Gramophone (124)"
"Independent","125","Grate","Grate (125)"
"Independent","126","Green Chilli","Green Chilli (126)"
"Independent","127","Guitar","Guitar (127)"
"Independent","128","Gun","Gun (128)"
"Independent","129","Hammer","Hammer (129)"
"Independent","130","Hand Pump","Hand Pump (130)"
"Independent","131","Handbag","Handbag (131)"
"Independent","132","Hanger","Hanger (132)"
"Independent","133","Harmonium","Harmonium (133)"
"Independent","135","Hen","Hen (135)"
"Independent","138","Horse Shoe","Horse Shoe (138)"
"Independent","139","House","House (139)"
"Independent","140","Hud Hud","Hud Hud (140)"
"Independent","142","Human Eye","Human Eye (142)"
"Independent","145","Ice Cream","Ice Cream (145)"
"Independent","148","Iron Stand","Iron Stand (148)"
"Independent","149","Jeep","Jeep (149)"
"Independent","151","Jug","Jug (151)"
"Independent","152","Kangaroo","Kangaroo (152)"
"Independent","153","Kettle","Kettle (153)"
"Independent","155","Key Chain","Key Chain (155)"
"Independent","156","Key with Lock","Key with Lock (156)"
"Independent","157","Khussa","Khussa (157)"
"Independent","158","King","King (158)"
"Independent","160","Knife","Knife (160)"
"Independent","164","Leaf","Leaf (164)"
"Independent","165","Letter Box","Letter Box (165)"
"Independent","166","Lighter","Lighter (166)"
"Independent","167","Lock","Lock (167)"
"Independent","169","Loudspeaker","Loudspeaker (169)"
"Independent","170","Lunch Box","Lunch Box (170)"
"Independent","171","Magnifying Glass","Magnifying Glass (171)"
"Independent","172","Match Box","Match Box (172)"
"Independent","173","Medal","Medal (173)"
"Independent","174","Mic","Mic (174)"
"Independent","176","Mobile Charger","Mobile Charger (176)"
"Independent","177","Mobile Phone","Mobile Phone (177)"
"Independent","178","Mobile Sim","Mobile Sim (178)"
"Independent","180","Mountain","Mountain (180)"
"Independent","182","Nail Cutter","Nail Cutter (182)"
"Independent","183","Newspaper","Newspaper (183)"
"Independent","184","Oil Stove","Oil Stove (184)"
"Independent","185","Oil Tanker","Oil Tanker (185)"
"Independent","187","Onion","Onion (187)"
"Independent","188","Orange","Orange (188)"
"Independent","190","Ox","Ox (190)"
"Independent","191","Papaya","Papaya (191)"
"Independent","192","Parachute","Parachute (192)"
"Independent","193","Parrot","Parrot (193)"
"Independent","196","Pencil","Pencil (196)"
"Independent","197","Penguin","Penguin (197)"
"Independent","198","Persian Wheel","Persian Wheel (198)"
"Independent","199","Phole Gobhi","Phole Gobhi (199)"
"Independent","200","Photostat Machine","Photostat Machine (200)"
"Independent","201","Pick Up","Pick Up (201)"
"Independent","202","Pillow","Pillow (202)"
"Independent","203","Pineapple","Pineapple (203)"
"Independent","204","Pitcher","Pitcher (204)"
"Independent","205","Planner","Planner (205)"
"Independent","207","Plug","Plug (207)"
"Independent","208","Pomegranate","Pomegranate (208)"
"Independent","209","Pressure Cooker","Pressure Cooker (209)"
"Independent","210","Printer","Printer (210)"
"Independent","211","Queen","Queen (211)"
"Independent","212","Rabab","Rabab (212)"
"Independent","213","Rabbit","Rabbit (213)"
"Independent","215","Radio","Radio (215)"
"Independent","216","Railway Engine","Railway Engine (216)"
"Independent","217","Railway Track","Railway Track (217)"
"Independent","218","Revolver","Revolver (218)"
"Independent","220","Ring","Ring (220)"
"Independent","221","Road Roller","Road Roller (221)"
"Independent","222","Roller Coaster","Roller Coaster (222)"
"Independent","223","Roller of Wood","Roller of Wood (223)"
"Independent","224","Roots","Roots (224)"
"Independent","227","Round Table","Round Table (227)"
"Independent","228","Saddle","Saddle (228)"
"Independent","229","Safety Helmet","Safety Helmet (229)"
"Independent","231","Saxophone","Saxophone (231)"
"Independent","233","School Bag","School Bag (233)"
"Independent","235","Scooter","Scooter (235)"
"Independent","236","Screw","Screw (236)"
"Independent","237","Screw Driver","Screw Driver (237)"
"Independent","238","Sea Saw","Sea Saw (238)"
"Independent","239","Sewing Machine","Sewing Machine (239)"
"Independent","240","Sharpener","Sharpener (240)"
"Independent","241","Sheep","Sheep (241)"
"Independent","243","Shoes","Shoes (243)"
"Independent","244","Shower","Shower (244)"
"Independent","245","Shuttle Cock","Shuttle Cock (245)"
"Independent","247","Sign Board","Sign Board (247)"
"Independent","248","Slate","Slate (248)"
"Independent","249","Sofa","Sofa (249)"
"Independent","251","Sparrow","Sparrow (251)"
"Independent","253","Spider","Spider (253)"
"Independent","254","Spinning Wheel","Spinning Wheel (254)"
"Independent","255","Spoon","Spoon (255)"
"Independent","256","Stabilizer","Stabilizer (256)"
"Independent","258","Stapler","Stapler (258)"
"Independent","260","Stethoscope","Stethoscope (260)"
"Independent","261","Still Camra","Still Camra (261)"
"Independent","262","Street Light","Street Light (262)"
"Independent","263","Study Table with Chair","Study Table with Chair (263)"
"Independent","264","Suitcase","Suitcase (264)"
"Independent","266","Sun Flower","Sun Flower (266)"
"Independent","268","Swing","Swing (268)"
"Independent","269","Swithes","Swithes (269)"
"Independent","271","Table","Table (271)"
"Independent","273","Table Tennis Bat","Table Tennis Bat (273)"
"Independent","275","Tambourine","Tambourine (275)"
"Independent","276","Tandoor","Tandoor (276)"
"Independent","277","Tap","Tap (277)"
"Independent","278","Tawa","Tawa (278)"
"Independent","279","Teapot","Tea Pot (279)"
"Independent","280","Telephone","Telephone (280)"
"Independent","281","Televison","Television (281)"
"Independent","283","Thermos","Thermos (283)"
"Independent","285","Tonga","Tonga (285)"
"Independent","286","Tongs","Tongs (286)"
"Independent","287","Tooth Brush","Tooth Brush (287)"
"Independent","288","Top","Top (288)"
"Independent","293","Traffic Signal","Traffic Signal (293)"
"Independent","294","Transformer","Transformer (294)"
"Independent","296","Tricycle","Tricycle (296)"
"Independent","297","Trolley","Trolley (297)"
"Independent","299","Trowel (Krandi)","Trowel (Krandi) (299)"
"Independent","301","T-Shirt","T-Shirt (301)"
"Independent","302","Tulip","Tulip (302)"
"Independent","304","Tunnel","Tunnel (304)"
"Independent","306","Tv Trolley","Tv Trolley (306)"
"Independent","308","Typewriter","Typewriter (308)"
"Independent","313","Violin","Violin (313)"
"Independent","314","Waist Coat","Waist Coat (314)"
"Independent","315","Wall","Wall (315)"
"Independent","316","Wash Basin","Wash Basin (316)"
"Independent","317","Water Cooler","Water Cooler (317)"
"Independent","318","Water Melon","Water Melon (318)"
"Independent","319","Water Tank","Water Tank (319)"
"Independent","320","Water Turbin","Water Turbin (320)"
"Independent","321","Well","Well (321)"
"Independent","324","Wheel Barrow","Wheel Barrow (324)"
"Independent","325","Wheel Chair","Wheel Chair (325)"
"Independent","326","Whistle","Whistle (326)"
"Independent","327","Wind Mill","Wind Mill (327)"
"Independent","328","Window","Window (328)"
"Independent","329","Wrench","Wrench (329)"
"Independent","330","Wrist Watch","Wrist Watch (330)"
